iter	Logloss
170	0.5189362816
171	0.5188040343
172	0.518717012
173	0.5184858913
174	0.5184074938
175	0.5182382525
176	0.5181201793
177	0.5180147964
178	0.5177913
179	0.5177541649
180	0.5175834557
181	0.5174644544
182	0.5173495556
183	0.5172129115
184	0.5171380749
185	0.5170187315
186	0.5170053076
187	0.5168587366
188	0.5167077326
189	0.5165159861
190	0.516374722
191	0.5161507656
192	0.5160234793
193	0.5159140343
194	0.5158788722
195	0.5157947703
196	0.5156711096
197	0.5155679029
198	0.515470918
199	0.5153276309
200	0.5152657792
201	0.5150645329
202	0.5149324508
203	0.5147558202
204	0.5146393047
205	0.5144801817
206	0.5144041255
207	0.5143707026
208	0.5141535185
209	0.5139038126
210	0.5137724051
211	0.5136959793
212	0.513687001
213	0.5135366679
214	0.5135316516
215	0.5134111256
216	0.513340796
217	0.5132216007
218	0.5131460034
219	0.5129837413
220	0.5128982188
221	0.5127716522
222	0.5126126636
223	0.5124177055
224	0.5123534741
225	0.5123416374
226	0.5121909532
227	0.512060649
228	0.5119660291
229	0.5118507104
230	0.5117550131
231	0.511662332
232	0.5115641946
233	0.5114544583
234	0.5113297374
235	0.5111771516
236	0.5111649694
237	0.5109431264
238	0.5108607725
239	0.5108151365
240	0.5107546003
241	0.5107251706
242	0.5106589492
243	0.510424991
244	0.5103773138
245	0.5102033374
246	0.5101432335
247	0.5100202403
248	0.5099079767
249	0.5098889535
250	0.5097997482
251	0.509657937
252	0.5096257004
253	0.5094192899
254	0.5092830061
255	0.5091863818
256	0.5091326647
257	0.5089638902
258	0.5087888643
259	0.5087168466
260	0.5087010975
261	0.5085345476
262	0.5083710872
263	0.5083097049
264	0.5082958047
265	0.5081485362
266	0.5079961966
267	0.5078863296
268	0.507776804
269	0.5077691876
270	0.5075800155
271	0.5075365454
272	0.5073397371
273	0.5071879379
274	0.507049652
275	0.5069817483
276	0.5068706285
277	0.506685451
278	0.5065631661
279	0.5063686969
280	0.5062431944
281	0.5061545242
282	0.5059813488
283	0.5058924386
284	0.5057541408
285	0.5057091723
286	0.505544712
287	0.5054206051
288	0.5053125445
289	0.5051603001
290	0.5050609363
291	0.5049716045
292	0.5048563896
293	0.5047864875
294	0.5046713745
295	0.5046365049
296	0.5045188528
297	0.5042870111
298	0.5040792427
299	0.5039658607
300	0.503887384
301	0.5038396551
302	0.5036661066
303	0.5034844616
304	0.5032641145
305	0.5031493489
306	0.5030474403
307	0.5028848819
308	0.5028270166
309	0.5026609752
310	0.5024641865
311	0.5024323825
312	0.5023272599
313	0.502059573
314	0.5019673656
315	0.5018416702
316	0.5016630616
317	0.5015370741
318	0.5012841091
319	0.5012581185
320	0.5010574329
321	0.5009912162
322	0.5009009723
323	0.5008245295
324	0.5006003913
325	0.5004201976
326	0.5002521095
327	0.5000849781
328	0.5000180597
329	0.4997973279
330	0.4996587709
331	0.4994057015
332	0.4992942056
333	0.4991275222
334	0.4989609686
335	0.4987781
336	0.4986537878
337	0.4985686344
338	0.4983494367
339	0.498078066
340	0.4979450217
341	0.4978005069
342	0.4976382112
343	0.4974746943
344	0.4972502179
345	0.4970988236
346	0.497054967
347	0.4969186818
348	0.4967711178
349	0.4966064741
350	0.4964859416
351	0.4964458059
352	0.4962965196
353	0.4962327295
354	0.4960441959
355	0.4959469887
356	0.4957753099
357	0.4956297586
358	0.4955700371
359	0.4954569322
360	0.4952376753
361	0.495036434
362	0.494941944
363	0.4948071426
364	0.4946404696
365	0.4946004886
366	0.494577748
367	0.4943774597
368	0.4942359852
369	0.4941000093
370	0.4940604138
371	0.4939390908
372	0.4938141704
373	0.4936267594
374	0.4934052739
375	0.4932209327
376	0.4930665667
377	0.4930208684
378	0.4928947013
379	0.4927550611
380	0.4926383068
381	0.4925945796
382	0.4924810991
383	0.4923540627
384	0.4921873968
385	0.4920427726
386	0.4919219536
387	0.4917460882
388	0.4915614895
389	0.4914816794
390	0.4913118859
391	0.491263961
392	0.4911529644
393	0.4910035669
394	0.49082574
395	0.490634481
396	0.4905603953
397	0.4903728741
398	0.4902271822
399	0.4900659608
400	0.4899547326
401	0.4898157479
402	0.4897565321
403	0.4896183041
404	0.4894460392
405	0.4892868455
406	0.4891557235
407	0.4889738253
408	0.4887930829
409	0.4887269317
410	0.4885882927
411	0.4884349797
412	0.4882658433
413	0.4881687221
414	0.4878962988
415	0.4878881536
416	0.4877023688
