iter	Logloss
0	0.6843141914
1	0.6757113785
2	0.6680301862
3	0.6602400904
4	0.6534320635
5	0.6466496351
6	0.6407567077
7	0.6350312378
8	0.6298615329
9	0.6251473434
10	0.6203293109
11	0.615901932
12	0.6113942817
13	0.6071306057
14	0.6037159964
15	0.6005409272
16	0.5969403099
17	0.5938645959
18	0.5907735842
19	0.5880880754
20	0.5856581832
21	0.5832884179
22	0.5810489672
23	0.5787629421
24	0.5766693152
25	0.5746442905
26	0.5727529572
27	0.5710745879
28	0.5691487558
29	0.5673007889
30	0.5657607636
31	0.564277539
32	0.5630230835
33	0.5618328049
34	0.560710539
35	0.5594797702
36	0.5583241564
37	0.5572666282
38	0.5563358353
39	0.5554665439
40	0.5546219076
41	0.5537447693
42	0.5528166716
43	0.5520308926
44	0.5512896803
45	0.550480915
46	0.5496876364
47	0.5490876979
48	0.5485628495
49	0.5479691637
50	0.5473658412
51	0.5468880089
52	0.5462377282
53	0.5458069671
54	0.5451742217
55	0.5447151553
56	0.544247621
57	0.5437790141
58	0.543283756
59	0.5429305454
60	0.5423728553
61	0.5418380847
62	0.5414642165
63	0.5410031699
64	0.5406971936
65	0.5403052559
66	0.5398907142
67	0.5395928352
68	0.5392695308
69	0.538939869
70	0.53849746
71	0.538242269
72	0.5378115109
73	0.537545405
74	0.5372592858
75	0.5368789593
76	0.5364268622
77	0.5361046361
78	0.5358599568
79	0.5355279076
80	0.5353243817
81	0.535038598
82	0.5347361025
83	0.5343609195
84	0.5340402819
85	0.5337321311
86	0.5335123396
87	0.5332346283
88	0.5329307819
89	0.5327125747
90	0.5324267919
91	0.5322052769
92	0.5319659657
93	0.5317496018
94	0.5314534454
95	0.5312220076
96	0.5310382579
97	0.5307739765
98	0.5305502532
99	0.5302823085
100	0.5300808388
101	0.52985484
102	0.5296300808
103	0.5294567002
104	0.5292422249
105	0.5290321139
106	0.5287556864
107	0.5286275854
108	0.5284038255
109	0.5282113774
110	0.5280145963
111	0.5278333731
112	0.5276254063
113	0.5274396798
114	0.5273084422
115	0.5272164631
116	0.5270674807
117	0.5269315437
118	0.5268110284
119	0.5266508137
120	0.526406971
121	0.5261399291
122	0.525999692
123	0.5257830342
124	0.5256520641
125	0.5255050854
126	0.5253227056
127	0.5251491498
128	0.5250181797
129	0.5249402907
130	0.5247305581
131	0.5245573317
132	0.5243996328
133	0.5242881609
134	0.5241438456
135	0.523991395
136	0.523787368
137	0.523657867
138	0.5235386888
139	0.5233999215
140	0.523256622
141	0.5230801213
142	0.5228914369
143	0.5226800248
144	0.5225453358
145	0.5224067846
146	0.5223066629
147	0.5221560928
148	0.5220632695
149	0.5218746953
150	0.5217565829
151	0.5216346073
152	0.5215052553
153	0.5213272564
154	0.5212460155
155	0.521111244
156	0.5210197309
157	0.5210195906
158	0.5207957539
159	0.5205981895
160	0.5204378595
161	0.5203165806
162	0.5201656994
163	0.5200838951
164	0.5198918269
165	0.5197264223
166	0.5195957398
167	0.519391454
168	0.5192565729
169	0.5190582551
